shortTerm,longTerm,totalReturns,totalTrades,recommendedDifference
25,158,0.099597662634338,4,0.003
26,152,0.099597662634338,2,0.001
26,153,0.099597662634338,2,0.001
26,154,0.099597662634338,2,0.001
26,155,0.099597662634338,3,0.002
26,156,0.099597662634338,3,0.003
27,151,0.099597662634338,2,0.001
27,152,0.099597662634338,2,0.001
27,153,0.099597662634338,3,0.002
28,149,0.099597662634338,2,0.001
28,150,0.099597662634338,2,0.001
28,151,0.099597662634338,2,0.002
29,147,0.099597662634338,2,0.001
29,148,0.099597662634338,2,0.001
29,149,0.099597662634338,2,0.001
29,150,0.099597662634338,2,0.002
26,162,0.09909463299128,5,0.003
27,156,0.09909463299128,3,0.002
21,191,0.098993697256412,5,0.003
21,192,0.098993697256412,5,0.003
21,193,0.098993697256412,6,0.003
21,195,0.098993697256412,6,0.003
21,196,0.098993697256412,7,0.004
21,197,0.098993697256412,7,0.004
21,198,0.098993697256412,8,0.004
21,199,0.098993697256412,8,0.005
25,165,0.098993697256412,6,0.003
27,160,0.098993697256412,5,0.003
25,88,0.098909334192086,19,0.004
24,168,0.098892710732018,4,0.003
24,169,0.098892710732018,3,0.002
25,166,0.098892710732018,3,0.002
25,170,0.098892710732018,4,0.002
26,164,0.098892710732018,3,0.002
26,168,0.098892710732018,3,0.002
27,161,0.098892710732018,3,0.002
27,162,0.098892710732018,3,0.002
27,165,0.098892710732018,3,0.002
27,166,0.098892710732018,3,0.002
28,159,0.098892710732018,3,0.002
28,163,0.098892710732018,3,0.002
22,83,0.097377251408982,45,0.008
27,82,0.097096507273633,29,0.004
20,92,0.09675447727864,22,0.005
27,85,0.096609315303094,24,0.004
23,84,0.096323649166069,25,0.003
23,186,0.096139276977686,9,0.007
24,178,0.096139276977686,5,0.003
24,179,0.096139276977686,5,0.004
24,180,0.096139276977686,6,0.005
24,181,0.096139276977686,6,0.005
24,182,0.096139276977686,6,0.006
24,183,0.096139276977686,7,0.006
21,190,0.095744035653403,13,0.01
23,83,0.095729107716215,40,0.006
20,164,0.09534593498182,7,0.005
20,165,0.09534593498182,7,0.005
21,160,0.09534593498182,6,0.005
21,161,0.09534593498182,5,0.004
21,162,0.09534593498182,5,0.004
22,158,0.09534593498182,5,0.004
23,156,0.09534593498182,4,0.003
21,74,0.095073229490262,6,0.001
21,75,0.095073229490262,5,0.001
22,199,0.09448612779178,6,0.003
20,151,0.093812965653811,2,0.002
20,152,0.093812965653811,2,0.001
20,153,0.093812965653811,2,0.001
20,154,0.093812965653811,2,0.002
20,155,0.093812965653811,3,0.003
21,151,0.093812965653811,2,0.002
21,152,0.093812965653811,2,0.002
21,153,0.093812965653811,3,0.003
21,84,0.093577084492939,43,0.008
25,171,0.093517890737949,5,0.003
25,172,0.093517890737949,5,0.003
25,173,0.093517890737949,6,0.004
25,174,0.093517890737949,6,0.004
25,175,0.093517890737949,6,0.004
25,176,0.093517890737949,6,0.005
25,177,0.093517890737949,6,0.005
26,169,0.093517890737949,5,0.003
27,167,0.093517890737949,5,0.003
28,164,0.093517890737949,5,0.003
28,165,0.093517890737949,6,0.004
28,166,0.093517890737949,6,0.004
29,162,0.093517890737949,5,0.003
29,163,0.093517890737949,6,0.004
29,164,0.093517890737949,6,0.004
21,91,0.093336655842332,17,0.004
22,84,0.093300154953021,40,0.007
